Vectorizer,Model,Accuracy,Weighted F1,Vectorization Time (s),Training Time (s),Prediction Time (s)
CountVectorizer,KNN,0.7785123966942149,0.7709403977011187,3.4256839752197266,0.004343986511230469,1.0087599754333496
CountVectorizer,SVM,0.9074380165289256,0.9071473259935252,3.4256839752197266,3.6544809341430664,0.8169269561767578
CountVectorizer,DecisionTree,0.5082644628099173,0.5295373106218927,3.4256839752197266,0.07844781875610352,0.001249074935913086
CountVectorizer,RandomForest,0.8661157024793389,0.8574283528928811,3.4256839752197266,7.907709121704102,0.09752225875854492
CountVectorizer,OneVsRest,0.9132231404958677,0.9116029195846697,3.4256839752197266,11.493499994277954,1.9024198055267334
TfidfVectorizer,KNN,0.8615702479338843,0.8567520832209843,2.684465169906616,0.0022182464599609375,0.6828410625457764
TfidfVectorizer,SVM,0.9198347107438016,0.9200338643229462,2.684465169906616,5.223324775695801,0.983273983001709
TfidfVectorizer,DecisionTree,0.48512396694214877,0.505175102644226,2.684465169906616,0.14453411102294922,0.0010771751403808594
TfidfVectorizer,RandomForest,0.868595041322314,0.859811611155015,2.684465169906616,7.591642141342163,0.09971404075622559
TfidfVectorizer,OneVsRest,0.915702479338843,0.9130914250584224,2.684465169906616,15.500211954116821,2.8049709796905518
HashingVectorizer,KNN,0.8429752066115702,0.8403803035898361,2.9025049209594727,0.0022978782653808594,0.7447190284729004
HashingVectorizer,SVM,0.9037190082644628,0.9036604017593413,2.9025049209594727,3.8959968090057373,0.9235570430755615
HashingVectorizer,DecisionTree,0.4743801652892562,0.5133799512046057,2.9025049209594727,0.3589770793914795,0.001508951187133789
HashingVectorizer,RandomForest,0.8921487603305785,0.8835192181657727,2.9025049209594727,189.85228061676025,0.306549072265625
HashingVectorizer,OneVsRest,0.9111570247933884,0.9080502055899963,2.9025049209594727,10.822350025177002,2.09635591506958
